760,Cuivre,Cu,50ug,27/08/2021 15:00:05,27/08/2021 15:01:15
761,Methomyl,C5H10N202S,70ug,27/08/2021 15:03:50,27/08/2021 15:05:10
762,Cuivre,Cu,50ug,31/08/2021 21:57:30,31/08/2021 21:58:30
763,Methomyl,C5H10N202S,70ug,31/08/2021 22:02:30,31/08/2021 22:03:40
764,Cuivre,Cu,50ug,03/09/2021 15:34:50,03/09/2021 15:35:55
765,Methomyl,C5H10N202S,70ug,03/09/2021 15:38:30,03/09/2021 15:39:50
766,Cuivre,Cu,50ug,07/09/2021 15:50:00,07/09/2021 15:50:55
767,Methomyl,C5H10N202S,70ug,07/09/2021 15:53:30,07/09/2021 15:54:40
768,Cuivre,Cu,50ug,10/09/2021 16:04:02,10/09/2021 16:05:03
769,Methomyl,C5H10N202S,70ug,10/09/2021 16:07:30,10/09/2021 16:08:50
